,dimension,term,dir,examples,example_source,synset,definition
26,Sociability,outgoing,high,"['an outgoing personality', 'She was always cheerful and outgoing.', 'I’ve become more confident and outgoing.']",Oxford Learner's Dictionary,extroverted.s.02,at ease in talking to others
27,Sociability,shy,low,"['stood in the doorway shy and abashed', 'problems that call for bold not shy responses', 'a very shy young man']",WordNet,diffident.a.02,lacking self-confidence
28,Sociability,sensitive,high,['sensitive to the local community and its needs'],WordNet,sensitive.a.02,"being susceptible to the attitudes, feelings, or circumstances of others"
29,Sociability,insensitive,low,['insensitive to the needs of the patients'],WordNet,insensitive.a.02,deficient in human sensibility; not mentally or morally sensitive
30,Sociability,affectionate,high,"['affectionate children', 'an affectionate embrace', 'an affectionate glance', 'an affectionate embrace']",WordNet,affectionate.s.01,having or displaying warmth or affection
31,Sociability,unaffectionate,low,['an unaffectionate person'],WordNet,detached.s.05,lacking affection or warm feeling
32,Sociability,distant,low,"['stood apart with distant dignity', 'a distant smile', 'he was distant with strangers']",WordNet,aloof.s.01,remote in manner
33,Sociability,unreserved,high,['unreserved behavior'],WordNet,unreserved.a.02,not cautious or reticent
34,Sociability,open,high,"['his open eyes', 'an open and trusting nature', 'an open talk']",WordNet,candid.s.03,openly straightforward and direct without reserve or secretiveness
35,Sociability,caring,high,['caring friends'],WordNet,caring.s.01,feeling and exhibiting concern and empathy for others
36,Sociability,uncaring,low,['an uncaring person'],WordNet,detached.s.05,lacking affection or warm feeling
37,Sociability,sympathetic,high,"[""sympathetic to the students' cause"", 'a sympathetic observer', 'a sympathetic gesture']",WordNet,sympathetic.a.02,expressing or feeling or resulting from sympathy or compassion or friendly fellow feelings; disposed toward
38,Sociability,sympathetic,high,"['was sympathetic in his opinions of others', 'sympathetic criticism', 'a sympathetic act', 'sympathetic words', 'a sympathetic mentor']",WordNet,charitable.s.03,showing or motivated by sympathy and understanding and generosity
39,Sociability,sympathetic,high,['the sympathetic characters in the play'],WordNet,sympathetic.a.04,(of characters in literature or drama) evoking empathic or sympathetic feelings
40,Sociability,unsympathetic,low,['all the characters were peculiarly unsympathetic'],WordNet,unsympathetic.a.02,(of characters in literature or drama) tending to evoke antipathetic feelings
41,Sociability,unsympathetic,low,['unsympathetic ancts'],WordNet,unkindly.s.01,lacking in sympathy and kindness
42,Sociability,sympathy,high,['the two of them were in close sympathy'],WordNet,sympathy.n.03,a relation of affinity or harmony between people; whatever affects one correspondingly affects the other
43,Sociability,helpful,high,"['Thank you for all your helpful suggestions.', 'It would be more helpful for me to try to do it myself.', 'Here are some helpful hints for successful revision.', 'Our host gave us some helpful tips on how to behave.']",Oxford Learner's Dictionary,helpful.a.01,providing assistance or serving a useful function
44,Sociability,unhelpful,low,"['an unhelpful response', 'The taxi driver was being very unhelpful.']",Oxford Learner's Dictionary,unhelpful.a.01,providing no assistance
45,Sociability,understanding,high,['an understanding friend'],WordNet,understanding.s.01,characterized by understanding based on comprehension and discernment and empathy
46,Sociability,supportive,high,"['a supportive family network', 'his family was supportive of his attempts to be a writer']",WordNet,supportive.a.01,furnishing support or assistance
47,Sociability,unsupportive,low,"['You certainly couldn\'t accuse him of being unsupportive', 'You might even be grateful for it, because these people sound very demanding and unsupportive']",Books and Articles,unsupportive.a.01,not furnishing support or assistance
48,Sociability,polite,high,"['Our waiter was very polite and helpful.', 'Please be polite to our guests.']",Oxford Learner's Dictionary,polite.a.01,"showing regard for others in manners, speech, behavior, etc."
49,Sociability,impolite,low,"['Some people think it is impolite to ask someone\'s age.', 'Smoking in public places is considered impolite.', 'Refusing to eat what was offered would be impolite.']",Oxford Learner's Dictionary,impolite.a.01,not polite
50,Sociability,aloof,low,"['stood apart with aloof dignity', 'an aloof smile', 'he was aloof with strangers']",WordNet,aloof.s.01,remote in manner
51,Sociability,civil,high,"[""even if he didn't like them he should have been civil""]",WordNet,civil.a.02,not rude; marked by satisfactory (or especially minimal) adherence to social usages and sufficient but not noteworthy consideration for others; - W.S. Maugham
52,Sociability,rude,low,['resentment flared at such a rude intrusion'],WordNet,ill-mannered.s.01,socially incorrect in behavior
53,Sociability,antisocial,low,"['standoffish and antisocial', ""he's not antisocial; just shy""]",WordNet,antisocial.s.01,shunning contact with others
54,Sociability,antisocial,low,"['criminal behavior or conduct that violates the rights of other individuals is antisocial', 'crimes...and other antisocial behavior', 'an antisocial deed']",WordNet,antisocial.s.02,hostile to or disruptive of normal standards of social behavior
55,Sociability,social,high,"['a purely social club', 'the church has a large social hall', 'a social director']",WordNet,social.s.04,composed of sociable people or formed for the purpose of sociability
56,Sociability,social,high,['ants are social insects'],WordNet,social.s.05,tending to move or live together in groups or colonies of the same kind
57,Sociability,social,high,['a social cup of coffee'],WordNet,social.s.06,marked by friendly companionship with others
58,Sociability,unsocial,low,"[""the unsocial disposition to neglect one's neighbors""]",WordNet,unsocial.a.01,not seeking or given to association; being or living without companions
59,Sociability,asocial,low,"['bears are asocial secretive animals', 'are you asocial or do you just enjoy living in the antarctic?']",WordNet,asocial.s.01,given to avoiding association with others
60,Sociability,asocial,low,"['criminal behavior or conduct that violates the rights of other individuals is asocial', 'crimes...and other asocial behavior', 'an asocial deed']",WordNet,antisocial.s.02,hostile to or disruptive of normal standards of social behavior
61,Sociability,humorous,high,"['humorous stories', 'humorous cartoons', 'in a humorous vein']",WordNet,humorous.a.01,full of or characterized by humor
62,Sociability,funny,high,"['an funny film with a steady stream of pranks and pratfalls', 'an funny fellow', 'a funny hat', 'a funny look of surprise', 'funny stories that made everybody laugh', 'a very funny writer', ""it would have been funny if it hadn't hurt so much"", 'a funny experience', 'funny courtroom antics']",WordNet,amusing.s.02,arousing or provoking laughter
63,Sociability,boring,low,"['a boring evening with uninteresting people', 'the boring effect of some routine tasks', 'a boring play', 'his competent but boring performance', ""a boring speaker who couldn't capture their attention"", 'what an boring task the writing of long letters is', 'boring days on the train', 'the boring chirping of a cricket', ""other people's dreams are boring wearisome""]",WordNet,boring.s.01,so lacking in interest as to cause mental weariness; ; ; ; ; ; - Edmund Burke; ; - Mark Twain
64,Sociability,popular,high,"['a popular tourist attraction', 'a popular girl', 'cabbage patch dolls are no longer popular']",WordNet,popular.a.01,"regarded with great favor, approval, or affection especially by the general public"
65,Sociability,unpopular,low,"['unpopular ideas', 'an unpopular war']",WordNet,unpopular.a.01,regarded with disfavor or lacking general approval
66,Sociability,nice,high,"['what a nice fellow you are and we all thought you so nasty', 'nice manners', 'a nice dress', 'a nice face', 'a nice day', 'had a nice time at the party', 'the corn and tomatoes are nice today']",WordNet,nice.a.01,pleasant or pleasing or agreeable in nature or appearance; - George Meredith
67,Sociability,nasty,low,"['in a nasty mood', 'a nasty accident', 'a nasty shock', 'a nasty smell', 'a nasty trick to pull', 'will he say nasty things at my funeral?']",WordNet,nasty.a.01,offensive or even (of persons) malicious; ; ; ; ; ; - Ezra Pound
68,Sociability,sentimental,high,"['He has a strong sentimental attachment to the place.', 'She kept the letters for sentimental reasons.', 'The ring wasn\'t worth very much but it had great sentimental value.']",Oxford Learner's Dictionary,sentimental.s.01,given to or marked by sentiment or sentimentality
69,Sociability,forthcoming,high,['She\'s never very forthcoming about her plans.'],Oxford Learner's Dictionary,extroverted.s.02,at ease in talking to others
70,Sociability,tender,high,"['a tender heart', 'a tender smile', 'tender loving care', 'tender memories', 'a tender mother']",WordNet,tender.a.01,given to sympathy or gentleness or sentimentality
71,Sociability,tender,high,['at a tender age'],WordNet,tender.s.03,young and immature
72,Sociability,agreeable,high,"['is the plan agreeable to you?', 'he\'s an agreeable fellow', 'my idea of an agreeable person...is a person who agrees with me', 'an agreeable manner']",WordNet,agreeable.a.01,conforming to your own liking or feelings or nature; ; ; - Disraeli
73,Sociability,disagreeable,low,['a disagreeable old man'],WordNet,disagreeable.s.02,unpleasant to interact with
74,Sociability,rough,low,"['she was a diamond in the rough', 'rough manners']",WordNet,rough.s.02,(of persons or behavior) lacking refinement or finesse
75,Sociability,rough,low,"['rough spirits...lamented that there was so little prospect of an exhilarating disturbance', 'they were rough and determined fighting men']",WordNet,pugnacious.s.02,ready and able to resort to force or violence; - Herman Melville
76,Sociability,rough,low,"['wild and rough country full of hot sand and cactus', 'the nomad life is rough and hazardous']",WordNet,harsh.s.01,unpleasantly stern
77,Sociability,rough,low,"['had rough words', 'a rough and unlovable old tyrant', 'a rough answer']",WordNet,harsh.s.04,unkind or cruel or uncivil
78,Sociability,welcoming,high,['a welcoming smile'],WordNet,welcoming.s.01,very cordial
79,Sociability,inhospitable,low,"['they are extremely inhospitable these days', 'her greeting was cold and inhospitable']",WordNet,inhospitable.a.02,not hospitable
80,Sociability,hospitable,high,"['a good-natured and hospitable man', 'a hospitable act', 'hospitable invitations']",WordNet,hospitable.a.02,disposed to treat guests and strangers with cordiality and generosity
81,Sociability,thoughtful,high,"['The hotel manager was very kind and thoughtful.', ' It was very thoughtful of you to send the flowers.', 'Some thoughtful person had left out towels, soap and shampoo in our rooms.']",Oxford Learner's Dictionary,thoughtful.s.05,considerate of the feelings or well-being of others
82,Sociability,inconsiderate,low,['shockingly inconsiderate behavior'],WordNet,inconsiderate.a.01,lacking regard for the rights or feelings of others
83,Sociability,timid,low,"['He stopped in the doorway, too timid to go in.', 'They\'ve been rather timid in the changes they\'ve made', 'Deer are naturally timid creatures.']",Oxford Learner's Dictionary,timid.a.01,showing fear and lack of confidence
84,Sociability,timid,low,"['stood in the doorway timid and abashed', 'problems that call for bold not timid responses', 'a very timid young man']",WordNet,diffident.a.02,lacking self-confidence
85,Morality,morality,high,['matters of public/private morality'],Oxford Learner's Dictionary,morality.n.01,concern with the distinction between good and evil or right and wrong; right or good conduct
86,Morality,morality,high,['There is a continuing debate on the morality of abortion.'],Oxford Learner's Dictionary,ethical_motive.n.01,motivation based on ideas of right and wrong
87,Morality,moral,high,"['moral sense', 'a moral scrutiny', 'a moral lesson', 'a moral quandary', 'moral convictions', 'a moral life']",WordNet,moral.a.01,concerned with principles of right and wrong or conforming to standards of behavior and character based on those principles
88,Morality,immoral,low,"['It\'s immoral to steal', 'There\'s nothing immoral about wanting to earn more money']",Oxford Learner's Dictionary,immoral.a.01,deliberately violating accepted principles of right and wrong
89,Morality,immoral,low,"['immoral and unpatriotic motives', 'a immoral, degrading way of life', 'cheating is immoral', 'they considered colonialism immoral', 'immoral practices in handling public funds']",WordNet,base.s.04,not adhering to ethical or moral principles
90,Morality,trustworthiness,high,['It was a chance to prove his trustworthiness to them.'],Oxford Learner's Dictionary,trustworthiness.n.01,the trait of deserving trust and confidence
91,Morality,trustworthy,high,"['a trustworthy report', 'an experienced and trustworthy traveling companion']",WordNet,trustworthy.a.01,worthy of trust or belief
92,Morality,untrustworthiness,low,"['In this respect, women are sometimes described as \'strong\', their strength supporting a fragile kin unit, threatened by poverty and the untrustworthiness of its men', 'On the supply side, governors have shown major shortcomings - corruption, untrustworthiness and unresponsiveness to ordinary people']",Cambridge Dictionary,untrustworthiness.n.01,the trait of not deserving trust or confidence
93,Morality,untrustworthy,low,['an untrustworthy person'],WordNet,untrustworthy.a.01,not worthy of trust or belief
94,Morality,sincere,high,"['he was a good man, decent and sincere', 'felt sincere regret that they were leaving', 'sincere friendship']",WordNet,sincere.a.01,open and genuine; not deceitful
95,Morality,insincere,low,"['a charming but thoroughly insincere woman', 'their praise was extravagant and insincere']",WordNet,insincere.a.01,lacking sincerity
96,Morality,honest,high,"['honest lawyers', 'honest reporting']",WordNet,honest.a.01,not disposed to cheat or defraud; not deceptive or fraudulent
97,Morality,honest,high,['my honest opinion'],WordNet,honest.s.02,without dissimulation; frank
98,Morality,honest,high,"['an honest worker', 'an honest working stiff', 'an honest sourcsfle of information', 'he was honest to his word', 'i would be honest for there are those who trust me']",WordNet,dependable.s.02,worthy of being depended on
99,Morality,dishonest,low,"['Beware of dishonest traders in the tourist areas.', ]",Oxford Learner's Dictionary,dishonest.a.01,deceptive or fraudulent; disposed to cheat or defraud or deceive
100,Morality,dishonest,low,"['dishonest judges', 'dishonest politicians', 'a dishonest senator', 'a dishonest police officer']",WordNet,corruptible.s.01,capable of being corrupted
101,Morality,egoistic,low,"['By contrast, he was vain, selfish and egoistic.']",Oxford Learner's Dictionary,egoistic.a.01,limited to or caring only about yourself and your own needs
102,Morality,altruistic,high,['altruistic behaviour'],Oxford Learner's Dictionary,altruistic.a.01,showing unselfish concern for the welfare of others
103,Morality,selfish,low,['selfish men were...trying to make capital for themselves out of the sacred cause of civil rights'],Oxford Learner's Dictionary,selfish.a.01,concerned chiefly or only with yourself and your advantage to the exclusion of others; - Maria Weston Chapman
104,Morality,selfless,high,['a life of selfless service to the community'],Oxford Learner's Dictionary,altruistic.a.01,showing unselfish concern for the welfare of others
105,Morality,benevolent,high,['a benevolent society'],WordNet,benevolent.a.01,intending or showing kindness
106,Morality,benevolent,high,"['was benevolent in his opinions of others', 'benevolent criticism', 'a benevolent act', 'benevolent words', 'a benevolent mentor']",WordNet,charitable.s.03,showing or motivated by sympathy and understanding and generosity
107,Morality,benevolent,high,"['This compassionate, benevolent attitude towards the sick is continued on yet another level']",Cambridge Dictionary,benevolent.s.03,generous in providing aid to others
108,Morality,benevolent,high,"['a benevolent contributor', 'benevolent relief', 'benevolent contributions']",WordNet,beneficent.s.02,generous in assistance to the poor
109,Morality,benevolence,high,['an act of benevolence'],Oxford Learner's Dictionary,benevolence.n.01,disposition to do good
110,Morality,threat,low,['earthquakes are a constant threat in japan'],WordNet,menace.n.01,something that is a source of danger
111,Morality,hardhearted,low,['a cold hardhearted person without feelings'],Oxford Learner's Dictionary,hardhearted.a.01,lacking in feeling or pity or warmth
112,Morality,hardhearted,low,['an hardhearted wretch'],WordNet,hardhearted.s.02,devoid of feeling for others
113,Morality,softhearted,high,['a softhearted judge'],WordNet,softhearted.a.01,easily moved to pity or sorrow
114,Morality,loyal,high,"['loyal subjects', 'loyal friends stood by him']",WordNet,loyal.a.01,steadfast in allegiance or duty
115,Morality,disloyal,low,['disloyal aides revealed his indiscretions to the papers'],WordNet,disloyal.a.02,deserting your allegiance or duty to leader or cause or principle
116,Morality,fair,high,"['a fair referee', 'fair deal', 'on a fair footing', 'a fair fight', 'by fair means or foul']",WordNet,fair.a.01,free from favoritism or self-interest or bias or deception; conforming with established standards or rules
117,Morality,unfair,low,"['used unfair methods', 'it was an unfair trial', 'took an unfair advantage']",WordNet,unfair.a.01,not fair; marked by injustice or partiality or deception
118,Morality,tolerant,high,['He has a very tolerant attitude towards other religions.'],Oxford Learner's Dictionary,tolerant.a.01,showing respect for the rights or opinions or practices of others
119,Morality,tolerant,high,['our neighbor was very tolerant about the window our son broke'],WordNet,kind.s.03,tolerant and forgiving under provocation
120,Morality,intolerant,low,"['She was intolerant of others who were less efficient than her.', 'He was deeply intolerant of all opposition.']",WordNet,intolerant.a.01,unwilling to tolerate difference of opinion
121,Morality,tolerance,high,['She had no tolerance for jokes of any kind.'],Oxford Learner's Dictionary,permissiveness.n.01,a disposition to allow freedom of choice and behavior
122,Morality,intolerance,low,"['religious intolerance', 'a basic intolerance for other people and their culture']",Oxford Learner's Dictionary,intolerance.n.02,unwillingness to recognize and respect differences in opinions or beliefs
123,Morality,good,high,"['He was very good to me when I was ill.', 'Giving her that money was a good thing to do.']",Oxford Learner's Dictionary,good.a.03,morally admirable
124,Morality,bad,low,"['a bad report card', 'his sloppy appearance made a bad impression', 'a bad little boy', 'clothes in bad shape', 'a bad cut', 'bad luck', 'the news was very bad', 'the reviews were bad', 'the pay is bad', 'it was a bad light for reading', 'the movie was a bad choice']",WordNet,bad.a.01,having undesirable or negative qualities
125,Morality,virtuous,high,"['She lived an entirely virtuous life.', 'They believe strongly that work is virtuous.']",Oxford Learner's Dictionary,virtuous.a.01,morally excellent
126,Morality,kind,high,"['kind to sick patients', 'a kind master', 'kind words showing understanding and sympathy', 'thanked her for her kind letter']",WordNet,kind.a.01,having or showing a tender and considerate and helpful nature; used especially of persons and their behavior
127,Morality,unkind,low,"['a thoughtless and unkind remark', 'the unkind cut of all']",WordNet,unkind.a.01,lacking kindness
128,Morality,unkind,low,"['She\'s not intentionally unkind - she\'s just a little thoughtless sometimes', 'It was a bit unkind of you to mention her weight', 'Don\'t be so unkind to your sister']",Oxford Learner's Dictionary,pitiless.s.02,deficient in humane and kindly feelings
129,Morality,right,high,"[""it isn\'t right to leave the party without saying goodbye"", ""right behavior""]",WordNet,correct.s.02,socially right or correct
130,Morality,right,high,['do the right thing and confess'],WordNet,right.a.04,in conformance with justice or law or morality
131,Morality,wrong,low,"['it is wrong for the rich to take advantage of the poor', 'cheating is wrong', 'it is wrong to lie']",WordNet,wrong.a.02,contrary to conscience or morality or law
132,Morality,mean,low,"['a mean thing to do', 'in a mean mood']",WordNet,hateful.s.02,characterized by malice
133,Morality,mean,low,"['that liberal obedience without which your army would be a mean rabble', 'taking a mean advantage', 'chok\'d with ambition of the mean er sort', 'something essentially vulgar and mean spirited in politics']",WordNet,base.s.05,having or showing an ignoble lack of honor or morality; - Edmund Burke; ; - Shakespeare
134,Morality,kindness,high,"['to treat somebody with kindness and consideration', 'They had shown him great kindness.', 'Show your appreciation by little acts of kindness.']",Oxford Learner's Dictionary,kindness.n.01,the quality of being warmhearted and considerate and humane and sympathetic
135,Morality,honesty,high,"['She answered all my questions with her usual honesty.', 'His honesty is not in question.']",Oxford Learner's Dictionary,honesty.n.01,the quality of being honest
136,Morality,sincerity,high,"['his sincerity inspired belief', 'they demanded some proof of my sincerity']",WordNet,sincerity.n.02,the quality of being open and truthful; not deceitful or hypocritical
137,Morality,honorable,high,"['honorable lawyers', 'honorable reporting']",WordNet,honest.a.01,not disposed to cheat or defraud; not deceptive or fraudulent
138,Morality,honorable,high,"['it seems honorable and right', 'followed the only honorable course of action']",WordNet,ethical.s.03,adhering to ethical and moral principles
139,Morality,dishonorable,low,['dishonorable in thought and deed'],WordNet,dishonorable.a.01,lacking honor or integrity; deserving dishonor
140,Morality,dishonorable,low,['It would have been dishonorable of her not to keep her promise.'],Oxford Learner's Dictionary,dishonest.a.01,deceptive or fraudulent; disposed to cheat or defraud or deceive
141,Morality,corrupt,low,"[""humanity they knew to be corrupt...from the day of adam's creation"", 'a corrupt and incompetent city government']",WordNet,corrupt.a.01,lacking in integrity
142,Morality,corrupt,low,"[""It was seen as the only way to overthrow a corrupt regime"", ""they promised to seek out the corrupt officials who had accepted the bribes""]",Oxford Learner's Dictionary,crooked.a.02,not straight; dishonest or immoral or evasive
143,Morality,incorrupt,high,['a policeman who was incorrupt and incorruptible'],WordNet,incorrupt.a.01,free of corruption or immorality
144,Morality,criminal,low,"['a convicted criminal', 'He admits to being a petty criminal', 'Police sometimes put themselves in danger when arresting violent criminal s']",Oxford Learner's Dictionary,criminal.n.01,someone who has committed a crime or has been legally convicted of a crime
145,Morality,criminal,low,"['a criminal waste of talent', 'a criminal act of violence', 'adultery is as criminal for a husband as for a wife']",WordNet,condemnable.s.01,bringing or deserving severe rebuke or censure
146,Morality,criminal,low,['criminal in the sight of god and man'],WordNet,criminal.s.02,guilty of crime or serious offense
147,Morality,criminal,low,"['a criminal offense', 'criminal abuse', 'criminal intent']",Oxford Learner's Dictionary,criminal.s.03,involving or being or having the nature of a crime
148,Morality,innocent,high,"['an innocent child', 'the principle that one is innocent until proved guilty']",WordNet,innocent.a.01,free from evil or guilt
149,Morality,thief,low,"['A thief snatched her handbag containing her wages.', 'The alarm is usually sufficient to deter a would-be thief.', 'The thief struck while the family were out.']",Oxford Learner's Dictionary,thief.n.01,a criminal who takes property belonging to someone else with the intention of keeping it or selling it
150,Morality,liar,low,"['Shelley wasn\'t a very good liar', 'She\'s an accomplished liar — they believed every word she said.', 'He\'s the biggest liar I\'ve ever known.']",Oxford Learner's Dictionary,liar.n.01,a person who has lied or who lies repeatedly
151,Morality,hostile,low,"['a hostile nation', 'a hostile remark', 'hostile actions']",WordNet,hostile.a.01,characterized by enmity or ill will
152,Morality,amicable,high,"['an amicable relationship', 'An amicable settlement was reached.']",Oxford Learner's Dictionary,amicable.a.01,characterized by friendship and good will
153,Morality,fake,low,"['There were a few stalls selling fake designer clothing.', 'The caller appeared to have a fake American accent.']",Oxford Learner's Dictionary,bogus.s.01,fraudulent; having a misleading appearance
154,Morality,genuine,high,"['genuine emotion', 'her interest in people was genuine', 'genuine grief']",WordNet,genuine.s.02,not pretended; sincerely felt or expressed
155,Morality,double-faced,low,"['she was a deceitful double-faced eming little thing', 'a double-faced double agent', 'a double-faced infernal traitor and schemer']",WordNet,ambidextrous.s.02,marked by deliberate deceptiveness especially by pretending one set of feelings and acting under the influence of another; - Israel Zangwill; ; - W.M.Thackeray
156,Morality,cunning,low,"['cunning men often pass for wise', 'cunning political machinations', 'a cunning scheme', 'a cunning evasive answer', 'cunning as a fox', 'cunning dick', 'a cunning old attorney']",WordNet,crafty.s.01,marked by skill in deception
157,Morality,humane,high,['The humane way of dealing with a suffering animal (= the way that causes the least pain) is to kill it quickly'],Cambridge Dictionary,humane.a.02,marked or motivated by concern with the alleviation of suffering
158,Morality,vicious,low,"['a vicious crime', 'vicious beatings', 'vicious tortures', ""stalin\'s vicious treatment of the kulaks"", 'a vicious slap', 'vicious kicks']",WordNet,barbarous.s.01,(of persons or their actions) able or disposed to inflict pain or suffering
159,Morality,vicious,low,"['They were the victims of a vicious racist attack', 'He was set upon by a vicious dog', 'He was subjected to the most vicious calumny, but he never complained and never sued']",Cambridge Dictionary,evil.s.02,having the nature of vice
160,Morality,vicious,low,"['a vicious waste of talent', 'a vicious act of violence', 'adultery is as vicious for a husband as for a wife']",WordNet,condemnable.s.01,bringing or deserving severe rebuke or censure
161,Morality,scheming,low,['the most scheming and selfish men in the community'],WordNet,calculating.s.01,used of persons
162,Morality,revengeful,low,"['more revengeful than jealous love', 'punishments...essentially revengeful in their nature']",WordNet,revengeful.s.01,disposed to seek revenge or intended for revenge; - Shakespeare; - M.R.Cohen
163,Morality,treacherous,low,"['treacherous faith', 'the treacherous judas', 'the fiercest and most treacherous of foes', 'treacherous intrigues']",WordNet,punic.s.02,tending to betray; especially having a treacherous character as attributed to the Carthaginians by the Romans
164,Morality,faithful,high,"['years of faithful service', 'faithful employees', 'we do not doubt that england has a faithful patriot in the lord chancellor']",WordNet,faithful.a.01,steadfast in affection or allegiance
165,Morality,exploitative,low,['an exploitative economic system'],Oxford Learner's Dictionary,exploitative.s.01,tending to exploit or make use of
166,Morality,stingy,low,"['she practices economy without being stingy', 'a stingy response to the appeal for funds']",WordNet,stingy.a.01,unwilling to spend
167,Morality,brutal,low,"['a brutal crime', 'brutal beatings', 'brutal tortures', ""stalin's brutal treatment of the kulaks"", 'a brutal slap', 'brutal kicks']",WordNet,barbarous.s.01,(of persons or their actions) able or disposed to inflict pain or suffering
168,Morality,cruelty,low,"['The deliberate cruelty of his words cut her like a knife.', 'Her stepmother showed her nothing but cruelty.', 'She was shocked to see such cruelty.']",Oxford Learner's Dictionary,cruelty.n.01,a cruel act; a deliberate infliction of pain and suffering
169,Morality,cruelty,low,"['The farmer was accused of cruelty to animals', 'I find any cruelty to children utterly repellent', 'The slaves were treated with sickening cruelty', 'The cruelty displayed by these torturers is hard to comprehend']",Cambridge Dictionary,cruelty.n.02,feelings of extreme heartlessness
170,Morality,good-natured,high,"['too good-natured to resent a little criticism', 'the good-natured policeman on our block', 'the sounds of good-natured play']",WordNet,good-natured.a.01,having an easygoing and cheerful disposition
171,Morality,truthful,high,"['a truthful statement', 'gave truthful testimony', 'a truthful person']",WordNet,truthful.a.01,expressing or given to expressing the truth
172,Morality,untruthful,low,"['the statement given under oath was untruthful', 'an untruthful person']",WordNet,untruthful.a.01,not expressing or given to expressing the truth
173,Morality,cooperative,high,['Employees will generally be more cooperative if their views are taken seriously.'],Oxford Learner's Dictionary,accommodative.s.02,willing to adjust to differences in order to obtain agreement
